Actual AQI,AQI predicted
209.0,272.4981104667843
328.0,355.4073126220927
514.0,512.5789841164665
782.0,782.3472731094182
914.0,938.3524682329193
660.0,594.3002372534263
294.0,192.06366228526423
149.0,174.63094937920056
190.0,219.17249438950802
247.0,306.8628728773682
379.0,283.52627733038184
341.0,273.48407024604865
256.0,222.27738893582938
388.0,256.9409447083426
288.0,336.8712035554513
510.0,446.9935528061627
761.0,770.6453027796173
475.0,415.6336956760191
536.0,447.73723395508546
479.0,363.98966786542167
592.0,383.7483893080838
427.0,374.39220703854755
588.0,683.6388374028421
1141.0,1103.86918807671
669.0,783.065810645904
1247.0,1283.8632245891858
411.0,384.12860602580463
292.0,164.5113126772166
189.0,239.4699188440698
408.0,334.971767393812
383.0,418.48385738411855
780.0,872.8913240910496
190.0,198.472765823141
233.0,283.25232343038806
297.0,274.2242065642354
330.0,287.43126704317706
252.0,283.75805602980563
244.0,260.5782558127511
234.0,275.03124689048
219.0,175.95301695397575
118.0,149.51716208501907
231.0,218.9420624591449
286.0,450.6972619252663
883.0,736.1830067655299
720.0,463.303178541728
570.0,494.5276524930242
589.0,530.849461118019
818.0,771.9176004628945
737.0,567.0008672017093
585.0,570.8435766592959
616.0,527.4645992453349
437.0,333.35121210977593
321.0,429.46571573067877
372.0,475.50809361346387
339.0,298.13584550735584
339.0,328.7070065409838
324.0,258.4273874733944
222.0,279.15750005337816
169.0,180.01189074450255
220.0,201.9960194741538
303.0,266.98538089737815
314.0,350.47483970820485
378.0,452.23424256712076
415.0,235.32521895333306
126.0,153.36525240136447
175.0,160.0383898623255
226.0,233.63144360637753
244.0,200.48680912883478
315.0,371.71577896277097
678.0,596.6909256921123
774.0,431.57296030276825
285.0,261.8830366764842
321.0,340.6012638717482
358.0,354.4816576688049
357.0,240.55683938329312
189.0,177.35196624497146
214.0,255.60404578936004
253.0,288.5906781518921
239.0,287.01225056657563
300.0,331.2162736537525
317.0,323.93268184880446
240.0,236.25495464126047
344.0,453.4874328473974
503.0,388.7853481204845
308.0,233.42555243159487
227.0,206.76446969751936
120.0,167.52818751790934
158.0,183.43450017917925
177.0,189.63363918806894
201.0,255.75203887870487
211.0,271.6259992054648
221.0,272.6918395381151
233.0,274.99992538463437
481.0,413.29110862882135
352.0,247.46700801715494
327.0,418.4914739552979
577.0,451.8888937012772
411.0,281.70688975273856
212.0,322.28488280174054
280.0,220.05527388536112
162.0,217.41949282348622
569.0,298.2014227487616
128.0,126.02051054698224
129.0,157.8336315439563
152.0,185.52325211253302
176.0,165.86866392541057
167.0,162.4556325211583
106.0,186.038165218734
231.0,260.38970151202875
327.0,243.61736527445646
174.0,204.2849499793343
185.0,266.3379147180507
179.0,179.99719483662233
211.0,235.95664689261847
192.0,170.52720856671183
310.0,259.66229257468217
223.0,267.8639626530453
192.0,247.54311936192272
191.0,178.98600387004103
184.0,158.81337429857476
220.0,179.00884700572564
215.0,163.43387314960708
226.0,173.9360695426803
251.0,190.3677279734977
216.0,172.52968311908538
237.0,189.48593808629806
198.0,169.7141221324194
195.0,154.78479024753318
187.0,159.8360842832233
181.0,154.3354966631016
179.0,152.06478465105985
188.0,137.8263598994891
190.0,152.19765878787058
185.0,140.33576138503332
189.0,131.6286000946476
196.0,203.5236409553709
201.0,213.6738876409563
231.0,215.8419810098455
196.0,186.79715773266085
220.0,271.7310936292572
244.0,169.87808159957464
223.0,138.50383308763415
230.0,198.08653080751955
243.0,198.0314956845491
215.0,183.11801254376022
199.0,181.74082611323018
200.0,198.3871045334069
226.0,196.2354349112267
241.0,197.9592550787625
222.0,216.60990021784525
223.0,230.40280655220573
248.0,343.60856155645945
300.0,266.81253028153964
232.0,292.56734676692815
330.0,336.40656784058024
223.0,184.53998312187625
105.0,128.66247959017215
101.0,118.73461146222058
93.0,109.84450027363273
67.0,86.32264711208339
60.0,79.99823047368862
90.0,114.320647828565
78.0,81.98055810081578
48.0,74.7102395773993
53.0,77.4285023162671
91.0,111.24673795070898
70.0,76.17458646368723
157.0,125.70262711456519
158.0,145.94861511212247
169.0,155.53358066866275
174.0,170.3507883876452
173.0,157.35571828426944
172.0,164.98213967282706
190.0,163.27314327448084
171.0,144.54664414017543
168.0,154.8662649992229
172.0,168.39236135256607
173.0,176.2354391155585
175.0,163.64550471453506
179.0,162.31634657167774
174.0,167.4523353041705
176.0,175.12005680788957
179.0,178.06565763211458
175.0,182.65027302161235
177.0,209.20920506056436
175.0,165.57043034593167
174.0,173.848197777286
179.0,165.58631774057847
177.0,167.16738398140922
180.0,171.14627274203158
274.0,226.3256904965033
310.0,277.55061862954585
303.0,306.47793689943296
302.0,291.2349716101843
302.0,294.7006387276175
302.0,281.19053074677106
302.0,291.6459275167256
302.0,279.7523843953436
302.0,288.8226696075012
301.0,301.56804002028787
302.0,338.42481358338716
302.0,291.5821867813107
302.0,298.00604734394403
302.0,303.5316441964329
301.0,306.12836082955323
302.0,310.48043693301975
301.0,294.08944340090557
302.0,271.00634025867936
301.0,269.8413152785124
301.0,257.0561040411784
226.0,206.39181965935384
276.0,211.49638321078626
209.0,174.73377818305056
179.0,169.5771324151597
197.0,189.00420401342544
229.0,182.6132042290185
170.0,155.01542003388116
164.0,156.0476359853177
195.0,175.83517557594234
220.0,173.231381260677
217.0,207.0957162386703
254.0,227.06377322600088
241.0,194.75268529441888
244.0,185.82544336507598
243.0,172.23787377548018
244.0,169.4728220988958
327.0,233.70502808937113
390.0,187.91456032779888
231.0,237.86825622973168
396.0,349.09526556210585
731.0,560.5934874382008
466.0,339.37654574728026
230.0,235.95285636134642
309.0,412.9109631794423
519.0,335.1902336431541
397.0,384.6051191018129
517.0,479.0512792085285
653.0,427.60070071413384
355.0,316.21965065281495
227.0,223.9118551496556
316.0,300.8184353460232
536.0,450.7232153470112
370.0,366.041752608431
551.0,380.82888640401586
393.0,382.03204144151334
671.0,492.10792035841746
969.0,903.7228097972269
471.0,461.8220851140269
529.0,625.05311637859
213.0,200.17813350624044
